"Date Administered",AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,id
"08/27/2022 12:00:00 AM","65+ Years",24.524333257671582,0.95,0.922,171
"08/09/2022 12:00:00 AM","50 - 64 Years",30.21545940711163,0.94,0.823,172
"08/26/2022 12:00:00 AM","<2 Years",19.56829250485476,0.04,0.008,173
"08/09/2022 12:00:00 AM","65+ Years",32.170316470794276,0.95,0.921,174
"08/08/2022 12:00:00 AM","<2 Years",26.798652735446037,0.032,0.005,175
"08/26/2022 12:00:00 AM","2 - 4 Years",22.00593044548544,0.066,0.016,176
"08/08/2022 12:00:00 AM","2 - 4 Years",28.594564286485234,0.054,0.01,177
"08/08/2022 12:00:00 AM","5 - 11 Years",15.422151426332809,0.377,0.307,178
"08/26/2022 12:00:00 AM","5 - 11 Years",19.56181062094225,0.382,0.311,179
"08/26/2022 12:00:00 AM","12 - 17 Years",21.91479217463522,0.708,0.606,180
"08/08/2022 12:00:00 AM","12 - 17 Years",14.997607538108316,0.706,0.604,181
"08/08/2022 12:00:00 AM","18 - 24 Years",29.658054455264544,0.797,0.65,182
"08/08/2022 12:00:00 AM","25 - 49 Years",32.90415507430435,0.834,0.706,183
"08/26/2022 12:00:00 AM","18 - 24 Years",22.19874908124891,0.8,0.651,184
"10/09/2022 12:00:00 AM","65+ Years",8.092591294903956,0.95,0.928,185
"08/08/2022 12:00:00 AM","50 - 64 Years",30.464051955561114,0.94,0.823,186
"08/26/2022 12:00:00 AM","25 - 49 Years",23.01395303692696,0.835,0.707,187
"08/08/2022 12:00:00 AM","65+ Years",32.41344039697106,0.95,0.921,188
"10/08/2022 12:00:00 AM","<2 Years",4.52919276520594,0.052,0.017,189
"08/26/2022 12:00:00 AM","50 - 64 Years",21.726080633851335,0.941,0.824,190
"08/07/2022 12:00:00 AM","<2 Years",27.28042905091366,0.032,0.005,191
"10/08/2022 12:00:00 AM","2 - 4 Years",4.812242942914115,0.08,0.032,192
"08/26/2022 12:00:00 AM","65+ Years",25.057620304437616,0.95,0.922,193
"08/25/2022 12:00:00 AM","<2 Years",19.970804850682473,0.039,0.008,194
"08/25/2022 12:00:00 AM","2 - 4 Years",22.270612689300204,0.065,0.015,195
"08/25/2022 12:00:00 AM","5 - 11 Years",19.795335008361075,0.381,0.31,196
"08/25/2022 12:00:00 AM","12 - 17 Years",21.77888117459449,0.708,0.606,197
"08/25/2022 12:00:00 AM","18 - 24 Years",22.38926179217662,0.8,0.651,198
"08/25/2022 12:00:00 AM","25 - 49 Years",23.35642218248081,0.835,0.706,199
"08/25/2022 12:00:00 AM","50 - 64 Years",22.105893723856806,0.941,0.824,200
"08/25/2022 12:00:00 AM","65+ Years",25.476216281681115,0.95,0.922,201
"08/24/2022 12:00:00 AM","<2 Years",20.417903179432635,0.039,0.008,202
"08/24/2022 12:00:00 AM","2 - 4 Years",22.414500352045145,0.064,0.015,203
"08/24/2022 12:00:00 AM","5 - 11 Years",19.8199429545622,0.381,0.31,204
"08/24/2022 12:00:00 AM","12 - 17 Years",21.174705384497447,0.708,0.606,205
"08/24/2022 12:00:00 AM","18 - 24 Years",22.293296332329653,0.8,0.651,206
"08/24/2022 12:00:00 AM","25 - 49 Years",23.580105197209104,0.835,0.706,207
"08/24/2022 12:00:00 AM","50 - 64 Years",22.427588373311526,0.941,0.824,208
"08/24/2022 12:00:00 AM","65+ Years",25.774835886659126,0.95,0.921,209
"08/23/2022 12:00:00 AM","<2 Years",20.564046123456233,0.038,0.008,210
